name,e,a,r,i,o,t,n,s,h,l,d,g,space,in,th,ti,on,an,he,al,er,es,the,and,are,ion,ing,in_DD,th_DD,ti_DD,on_DD,an_DD,he_DD,al_DD,er_DD,es_DD,input_rate
tushar_1,0.0874706016,0.1099583308,0.1077333291,0.0835000575,0.07254542,0.0933332973,0.0554999709,0.1089375019,0.0703077133,0.0684286186,0.0839999914,0.1044999361,0.0752999809,0.2239999771,0.207857132,0,0,0.2453333537,0.2853333553,0.3210000992,0.128000021,0.3600000143,0.435199976,0.4479999542,0,0,0.4170000553,0.1610000928,0.1438571044,0,0,0.176333348,0.2053333521,0.2880001068,0,0.2559999228,0.2564605816
tushar_2,0.1026470942,0.1215666612,0.1082307742,0.0612307879,0.0756249726,0.0969999858,0.0638571296,0.1251666546,0.0752857072,0.0870000294,0.1144285543,0.1195001602,0.0792777825,0.175999999,0.1914999485,0.2389998436,0.3350000381,0.3404285227,0.3474999666,0,0.128000021,0.3519999981,0.3514999151,0.4004998207,0.6400001049,0.3350000381,0.2720000744,0.0565000772,0.1119999886,0.2079999447,0.2709999084,0.278857129,0.2754999399,0,0,0.2400000095,0.2594056797
tushar_3,0.0870000124,0.1306249897,0.1113999844,0.0626922754,0.0707142694,0.113777717,0.0535714456,0.1015384564,0.0571666956,0.0660000188,0.0560000539,0.128000021,0.0726341562,0.175999999,0.268999958,0.5120000839,0.3566666444,0.307199955,0.261500001,0.2235000134,0.1119999886,0.3999998569,0.4279999733,0.4319999218,0,0.3359999657,0,0.1124999523,0.2081999779,0.4479999542,0.3086666266,0.2463999748,0.1785000165,0.1675000191,0,0.271999836,0.2604139404
Sai_1,0.0894500017,0.0950434934,0.078294165,0.0850624889,0.0842727965,0.0738947392,0.0864000559,0.0940000415,0.0857857125,0.0869999954,0.0829999924,0.0794999599,0.0822330285,0.3146666686,0.2517499924,0,0,0.2766666412,0.2179999948,0.5120000839,0.2245000601,0.3279999495,0.3881428582,0.5120000839,0,0,0.6400001049,0.218666633,0.1756250262,0,0,0.2019999027,0.1361249983,0.4320001602,0.1360000372,0.2164999247,0.2895779465
Sai_2,0.0784999927,0.0881739181,0.069999963,0.0778749883,0.1093333165,0.0748333136,0.0791110728,0.0897777875,0.0762499571,0.0829999447,0.0831999779,0.0959999561,0.0825492832,0,0,0.2239999771,0.256000042,0.2373332977,0.183999896,0,0.2154998779,0.4960000515,0,0.3839999437,0.5280001163,0.4159998894,0,0,0,0.1440000534,0.1440000534,0.1716666619,0.1130000353,0,0.1430000067,0.4319999218,0.3052821099
Sai_3,0.075428588,0.0924000072,0.0764444404,0.0836153764,0.0847142765,0.070500046,0.0765714475,0.0969999937,0.0783636136,0.0821428299,0.0880000591,0.0639998913,0.0774729477,0.2319999933,0.2773333391,0,0.3039999008,0.3839999199,0.228571449,0.2159998417,0.3199999332,0.3680000305,0.4512000561,0.3999998569,0,0.3840000629,0,0.1439999342,0.1950000525,0,0.2346665064,0.313599968,0.1624285834,0.1519999504,0.2239999771,0.2239999771,0.2992437107
zeenath_1,0.0985882422503303,0.11512499054272969,0.10433336893717447,0.11570586877710679,0.10036360133777965,0.10222223069932726,0.09187492728233337,0.10506246984004974,0.1278333067893982,0.12100005149841309,0.11599993705749512,0.09599995613098145,0.09854944721683041,0.29866663614908856,0.383857182094029,0.0,0.0,0.4259999593098958,1.2771665652592976,0.3840000629425049,0.3200000524520874,0.3840000629425049,1.6767999649047851,0.7199997901916504,0.0,0.0,0.624000072479248,0.20833341280619302,0.2512857573372977,0.0,0.0,0.3406666914621989,1.1894998947779338,0.2560000419616699,0.21599996089935303,0.2799999713897705,0.46002892620307356
zeenath_2,0.10447057555703555,0.10333332220713297,0.10266665617624919,0.12561535835266113,0.13374999165534973,0.1015714236668178,0.11179998715718588,0.10700001716613769,0.12100001743861608,0.13000001226152694,0.08899998664855957,0.11200010776519775,0.10327658754713992,0.34399986267089844,0.343999981880188,0.3680000305175781,0.32000017166137695,0.39100003242492676,0.3119999170303345,0.0,0.7035000324249268,0.2720000743865967,0.48799991607666016,0.6666666666666666,0.9440000057220459,0.4960000514984131,0.7039999961853027,0.22449994087219238,0.20000004768371582,0.2720000743865967,0.192000150680542,0.28622227244906956,0.22824996709823608,0.0,0.6154999732971191,0.14400005340576172,0.4885355653124374
zeenath_3,0.10924996932347615,0.10603998184204101,0.13322220908270943,0.11815382884098934,0.12328570229666573,0.10999998450279236,0.1028749942779541,0.10241663455963135,0.12799999713897706,0.0914285523550851,0.1040000319480896,0.09599995613098145,0.10425350028024592,0.28799986839294434,0.37083327770233154,0.0,0.31933339436848956,0.40783341725667316,0.37759995460510254,0.3114999532699585,0.28799986839294434,0.09599995613098145,0.6199999451637268,0.6560001373291016,0.0,0.5440001487731934,0.0,0.1844998598098755,0.22683326403299967,0.0,0.21800009409586588,0.3095000982284546,0.2656001091003418,0.19149994850158691,0.17599987983703613,0.0,0.4831842497588975
shabaz_1,0.10455001592636108,0.12274997574942452,0.09952940660364487,0.09421053685640034,0.11333332459131877,0.09594119296354406,0.08281820470636542,0.1278823403751149,0.08807144846235003,0.11414286068507604,0.09560003280639648,0.07200002670288086,0.10344716591563652,0.3040000597635905,0.24550004800160727,0.0,0.0,0.42000001668930054,0.3935999870300293,0.4479999542236328,0.6315000057220459,0.34400010108947754,0.27733341852823895,0.3680000305175781,0.0,0.0,0.5290000438690186,0.18700003623962402,0.16800002257029215,0.0,0.0,0.3479999899864197,0.2757999420166016,0.17599987983703613,0.5199999809265137,0.16750013828277588,0.31106506798365346
